rf,gf,bf,category
191,216,214,GREEN
190,209,203,GREEN
185,208,207,GREEN
181,207,205,GREEN
178,201,203,GREEN
171,200,203,GREEN
168,198,199,GREEN
174,208,199,GREEN
169,193,192,GREEN
171,193,196,GREEN
169,186,193,GREEN
168,192,193,GREEN
168,191,179,GREEN
172,191,194,GREEN
166,191,193,GREEN
161,192,193,GREEN
166,189,192,GREEN
161,190,191,GREEN
164,185,188,GREEN
163,179,190,GREEN
172,195,200,GREEN
174,192,199,GREEN
173,197,191,GREEN
173,196,191,GREEN
168,191,179,GREEN
177,191,194,GREEN
167,189,192,GREEN
165,183,191,GREEN
167,189,190,GREEN
165,188,190,GREEN
162,186,188,GREEN
163,169,189,GREEN
163,181,189,GREEN
163,187,182,GREEN
164,188,188,GREEN
164,187,189,GREEN
161,183,185,GREEN
155,183,196,GREEN
163,186,193,GREEN
169,195,196,GREEN
166,190,185,GREEN
159,190,188,GREEN
163,186,187,GREEN
157,197,188,GREEN
165,188,192,GREEN
166,190,193,GREEN
167,190,192,GREEN
167,191,193,GREEN
165,182,192,GREEN
178,191,196,GREEN
177,202,203,GREEN
177,200,194,GREEN
170,187,195,GREEN
170,186,195,GREEN
167,191,193,GREEN
168,192,187,GREEN
166,188,189,GREEN
165,188,190,GREEN
165,188,185,GREEN
167,189,191,GREEN
165,187,191,GREEN
176,189,192,GREEN
166,190,191,GREEN
166,189,191,GREEN
166,187,191,GREEN
158,187,191,GREEN
164,188,191,GREEN
166,188,191,GREEN
165,182,191,GREEN
166,189,191,GREEN
166,188,191,GREEN
165,188,191,GREEN
159,188,202,GREEN
173,188,189,GREEN
156,185,188,GREEN
158,187,190,GREEN
162,185,183,GREEN
162,186,189,GREEN
163,176,189,GREEN
163,186,182,GREEN
170,192,189,GREEN
169,192,189,GREEN
168,192,194,GREEN
168,192,194,GREEN
171,187,205,GREEN
170,193,195,GREEN
169,196,199,GREEN
174,191,199,GREEN
184,210,208,GREEN
178,208,206,GREEN
182,216,206,GREEN
180,204,206,GREEN
177,202,202,GREEN
177,201,202,GREEN
169,199,199,GREEN
173,196,191,GREEN
158,195,187,GREEN
167,195,199,GREEN
173,190,198,GREEN
173,197,198,GREEN
172,195,198,GREEN
172,196,198,GREEN
172,190,199,GREEN
165,196,197,GREEN
177,200,202,GREEN
177,186,201,GREEN
175,199,200,GREEN
175,198,200,GREEN
184,199,200,GREEN
175,199,193,GREEN
174,198,199,GREEN
174,197,210,GREEN
167,198,197,GREEN
175,198,199,GREEN
183,207,208,GREEN
183,209,216,GREEN
176,206,205,GREEN
174,206,197,GREEN
180,207,206,GREEN
175,207,205,GREEN
182,209,207,GREEN
177,219,201,GREEN
